timestamp,x_robot_mm,y_robot_mm,z_robot_mm,angle_deg,pixel_size,area
1772013309.2608826,630.49,-91.36,523.51,21.04,144.7,18753
1772013309.3294134,630.51,-91.4,523.41,21.25,144.6,18767
1772013309.3873107,630.5,-91.36,523.51,21.04,144.7,18820
1772013309.4472687,630.51,-91.36,523.51,21.04,144.7,18839
1772013309.5134945,630.51,-91.36,523.51,21.04,144.7,18855
1772013309.5747821,630.48,-91.27,523.78,21.04,144.8,18858
1772013309.6029525,630.52,-91.36,523.51,21.04,144.7,18814
1772013309.6332817,630.55,-91.46,523.21,21.25,144.5,18819
1772013309.674457,630.53,-91.41,523.33,21.16,144.6,18844
1772013309.7143967,630.5,-91.34,523.56,21.16,144.7,18850
1772013309.7491915,630.5,-91.34,523.56,21.16,144.7,18870
1772013309.77864,630.46,-91.23,523.92,21.04,144.9,18839
1772013309.8075469,630.45,-91.23,523.92,21.04,144.9,18851
1772013309.833947,630.42,-91.19,524.08,21.16,145.0,18830
1772013309.859909,630.26,-90.78,525.36,20.85,145.6,18881
1772013309.8993597,630.28,-90.91,525.01,21.04,145.5,18895
1772013309.9310348,630.27,-90.93,525.01,21.04,145.5,18894
1772013309.9656096,630.3,-91.05,524.69,21.25,145.3,18882
1772013309.9991558,630.22,-90.86,525.28,21.04,145.6,18894
1772013310.0282097,630.21,-90.88,525.28,21.04,145.6,18906
1772013310.0607712,630.23,-90.97,525.01,21.04,145.5,18892
1772013310.0943704,630.23,-90.97,525.01,21.04,145.5,18908
1772013310.1405294,630.3,-91.19,524.29,21.25,145.1,18768
1772013310.1878426,630.29,-91.18,524.29,21.25,145.1,18768
1772013310.2412217,630.28,-91.17,524.29,21.25,145.1,18768
1772013310.288171,630.29,-91.16,524.29,21.25,145.1,18657
1772013310.3345692,630.28,-91.12,524.43,21.37,145.2,18624
1772013310.386224,630.28,-91.11,524.43,21.37,145.2,18624
1772013310.4379866,630.33,-91.24,524.04,21.37,144.9,18665
1772013310.489504,630.26,-90.97,524.86,21.61,145.4,19042
